"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"5700";"PRADA DAMA$90";"";"Mujer";"";"90";"0";"90";"IMG-20260330-WA0129.jpg";"";"0";"";"SUMBAWA"
"5701";"CHANEL DAMA $85";"";"Mujer";"";"85";"0";"85";"IMG-20260330-WA0130.jpg";"";"0";"";"SUMBAWA"
"5702";"CHANCLA LV DAMA 36 AL 39 $85.000";"";"Mujer";"";"85000";"0";"36-39";"IMG-20260213-WA0100.jpg";"";"0";"";"SUMBAWA"
"5703";"LOUIS VUITTON DAMA $85";"On";"Mujer";"";"85";"0";"85";"IMG-20260330-WA0131.jpg";"";"0";"";"SUMBAWA"
"5704";"RECARGA LOUIS VUITTON DAMA  $85";"On";"Mujer";"";"85";"0";"85";"IMG-20260330-WA0132.jpg";"";"0";"";"SUMBAWA"
"5705";"RECARGA LOUIS VUITTON DAMA  $85";"On";"Mujer";"";"85";"0";"85";"IMG-20260330-WA0133.jpg";"";"0";"";"SUMBAWA"
"5706";"CHANCLA GUCCI DAMA 36 AL 39 $85.000";"";"Mujer";"";"85000";"0";"36-39";"IMG-20260128-WA0024.jpg";"";"0";"";"SUMBAWA"
"5707";"COACH DAMA  $90";"";"Mujer";"";"90";"0";"90";"IMG-20260330-WA0134.jpg";"";"0";"";"SUMBAWA"
"5708";"NEW BALANCE 204L";"New Balance";"Mujer";"";"105000";"0";"36";"IMG-20260317-WA0010.jpg";"";"0";"";"SUMBAWA"
"5709";"NEW BALANCE 204L";"New Balance";"Mujer";"";"105000";"0";"36";"IMG-20260330-WA0493.jpg";"";"0";"";"SUMBAWA"
"5710";"LECOQ SPORT";"";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0494.jpg";"";"0";"";"SUMBAWA"
"5711";"NEW BALANCE 1300";"New Balance";"Hombre";"";"95000";"0";"40";"IMG-20260330-WA0495.jpg";"";"0";"";"SUMBAWA"
"5712";"PUMA CA MATCH";"Puma";"Mujer";"";"95000";"0";"36";"IMG-20260320-WA0900.jpg";"";"0";"";"SUMBAWA"
