"id";"name";"brand";"category";"ref";"price";"cost";"sizes";"image";"color";"stock";"note";"source"
"28040";"LECOQ SPORTIF";"";"";"";"90000";"0";"40-44";"IMG-20260604-WA1786.jpg";"";"0";"";"SUMBAWA"
"28041";"ADIDAS SUPER STAR";"";"";"";"80000";"0";"36-44";"IMG-20260605-WA0373.jpg";"";"0";"";"SUMBAWA"
"28042";"SUMBAWA STORE";"";"Hombre";"";"90000";"0";"40-44";"IMG-20260612-WA1490.jpg";"";"0";"";"Cali Pedidos"
"28043";"SUMBAWA STORE";"";"Hombre";"";"90";"0";"40-44";"IMG-20260612-WA1477.jpg";"";"0";"";"Cali Pedidos"
"28044";"SUMBAWA STORE";"";"Mujer";"";"80000";"0";"36-39";"IMG-20260612-WA1473.jpg";"";"0";"";"Cali Pedidos"
"28045";"SUMBAWA STORE";"";"Mujer";"";"90000";"0";"36-39";"IMG-20260612-WA1472.jpg";"";"0";"";"Cali Pedidos"
"28046";"NIKE AF1 DRAKE HOMBRE Y DAMA $90.000";"";"Mujer";"";"90000";"0";"685";"IMG-20260612-WA1737.jpg";"";"0";"";"Cali Pedidos"
"28047";"TIMBERLAND HOMBRE $105.000";"";"Hombre";"";"105000";"0";"833";"IMG-20260612-WA1738.jpg";"";"0";"";"Cali Pedidos"
"28048";"NIKE AF1 HOMBRE $90.000";"";"Hombre";"";"90000";"0";"454";"IMG-20260612-WA1739.jpg";"";"0";"";"Cali Pedidos"
"28049";"NIKE AF1 HOMBRE $90.000";"";"Hombre";"";"90000";"0";"589";"IMG-20260612-WA1740.jpg";"";"0";"";"Cali Pedidos"
"28050";"NIKE AF1 HOMBRE $90.000";"";"Hombre";"";"90000";"0";"722";"IMG-20260612-WA1741.jpg";"";"0";"";"Cali Pedidos"
"28051";"NIKE AF1 HOMBRE $90.000";"";"Hombre";"";"90000";"0";"707";"IMG-20260612-WA1742.jpg";"";"0";"";"Cali Pedidos"
"28052";"NIKE SHOX HOMBRE $105.000";"";"Hombre";"";"105000";"0";"715";"IMG-20260612-WA1743.jpg";"";"0";"";"Cali Pedidos"
"28053";"NIKE SHOX HOMBRE $100.000";"";"Hombre";"";"100000";"0";"721";"IMG-20260612-WA1744.jpg";"";"0";"";"Cali Pedidos"
"28054";"NIKE P6000 DAMA $100.000";"";"Mujer";"";"100000";"0";"142";"IMG-20260612-WA1745.jpg";"";"0";"";"Cali Pedidos"
"28055";"NIKE P6000 HOMBRE Y DAMA $100.000";"";"Mujer";"";"100000";"0";"353";"IMG-20260612-WA1746.jpg";"";"0";"";"Cali Pedidos"
"28056";"NIKE SACAI HOMBRE Y DAMA  $100.000";"";"Mujer";"";"100000";"0";"068";"IMG-20260612-WA1747.jpg";"";"0";"";"Cali Pedidos"
"28057";"NIKE SACAI DAMA $100.000";"";"Mujer";"";"100000";"0";"660";"IMG-20260612-WA1748.jpg";"";"0";"";"Cali Pedidos"
"28058";"NIKE CORRALETE HOMBRE Y DAMA $90.000";"";"Mujer";"";"90000";"0";"236";"IMG-20260612-WA1749.jpg";"";"0";"";"Cali Pedidos"
"28059";"NIKE CORRALETE HOMBRE $90.000";"";"Hombre";"";"90000";"0";"479";"IMG-20260612-WA1750.jpg";"";"0";"";"Cali Pedidos"
"28060";"POLO HOMBRE $100.000";"";"Hombre";"";"100000";"0";"723";"IMG-20260612-WA1751.jpg";"";"0";"";"Cali Pedidos"
"28061";"POLO HOMBRE $100.000";"";"Hombre";"";"100000";"0";"724";"IMG-20260612-WA1753.jpg";"";"0";"";"Cali Pedidos"
"28062";"NEW BALANCE 9060 HOMBRE $100.000";"";"Hombre";"";"100000";"0";"668";"IMG-20260612-WA1754.jpg";"";"0";"";"Cali Pedidos"
"28063";"NEW BALANCE 9060 DAMA Y HOMBRE $100.000";"";"Mujer";"";"100000";"0";"1020";"IMG-20260612-WA1755.jpg";"";"0";"";"Cali Pedidos"
